method,query_issue,target_issue,target_rank,candidate_count,latency_ms,query_title,target_title,shared_labels,top_issue_numbers
tfidf,13868,24923,,0,0.951,Apple Fairplay Streaming support.,[video_player] Support DRM content,a: video|c: new feature|p: video_player|package|team-ecosystem|triaged-ecosystem,
tfidf,67528,45332,1,38,53.709,Image picker video/image optional,ImagePicker: ImageSource should support both Camera+Gallery,p: image_picker|package,45332|14288|51875|46460|53229|48670|61997|62496|60678|54213
tfidf,75423,75076,4,45,30.791,[web] Pressing any key causes Uncaught Errors in platform_dispatcher.dart,[Web]TextformField shows error when trying to type with keyboard,,70216|68958|66413|75076|54213|59312|66224|48670|65021|59757
tfidf,75617,32719,29,47,30.429,[question]Calling C ++ via the plugin introduces a compilation error caused by the VCPKG package in CMake,Add dependency management support for Windows plugins,,66224|75613|70216|53120|61997|68958|75423|81777|38437|63193
tfidf,76580,68436,1,48,32.616,"cupertino_icons, square_pencil issue","Cupertino icon ""square_pencil"" is filled",r: duplicate,68436|67528|75423|14288|45332|75613|62597|31373|61997|24923
tfidf,76768,66833,2,50,59.657,Using more v2 embedded plugins from plugin example application will make the plugin fail to run properly,MissingPluginException(No implementation found for method getAll on channel plugins.flutter.io/shared_preferences),r: duplicate,62496|66833|73743|76705|63193|70216|75423|68958|54213|38437
tfidf,76777,76705,1,51,71.647,win32-1.7.4+1/lib/src/structs.dart:1111:7: Error: Struct 'ENUMLOGFONTEX' is empty. Empty,Android build failure on master channel,,76705|61997|61340|70216|62496|76768|66833|73743|59312|75423
tfidf,78009,75613,1,55,62.753,Horizontal scrollbar becomes invalid and does not disappear after increasing the width of the screen.,The Scrollbar() Widget in Flutter Web is not working as expected,,75613|75423|70216|60495|65021|66224|68958|76705|66413|75076
tfidf,78244,48670,2,57,65.06,hls url doesnt play the video in iOS with video_player ,Flutter video_player unable to play HLS live video on iOS device,,46460|48670|24923|66413|67528|76580|30701|59312|13868|70216
tfidf,78342,78099,1,58,64.719,[tool_crash] RPCError,[tool_crash] RPCError,,78099|70216|66413|75423|54213|59312|68958|65021|78009|66224
tfidf,79277,77043,22,59,178.821,Carried velocity is incorrectly applied on iOS,ListView ScrollPhysics different from native scroll physics when pausing in between scrolls,f: scrolling|framework|platform-ios,78342|66413|75423|70216|78099|68958|75613|78009|54213|77581
tfidf,79554,37987,39,60,65.589,Launch devtools faster/earlier to make it easier to profile app startup ,Enable hot restart on profile mode,,78009|38437|75423|70216|78099|78342|68958|79277|75613|66413
tfidf,79634,66413,9,61,66.027,VideoController.size not correct on iPhone SE (2nd generation),[video_player] Aspect Ratio sometimes incorrect in iOS,,79554|38437|78009|48670|75613|70216|61340|76768|66413|62496
tfidf,80330,14288,15,65,67.864,Flutter showing odd borders that don't actually exist.,Antialiasing behaviour when same-colour ,,79554|79634|78009|78342|38437|79748|79277|75423|70216|66413
tfidf,80402,79949,1,66,72.722,Dart snapshot generator failed with exit code -1073741819,Building project fails on generating snapshot with segmentation fault after upgrading to 2.0.1,,79949|76705|63193|73743|65021|59770|62496|79554|59312|79634
tfidf,80750,77084,1,68,69.022,[web] zooming and resizing does not redraw Scaffold properly,[web] flutter website doesn't resize  properly when zoomed in/out and resizing window on desktop ,,77084|77043|76580|68436|78009|67528|75613|79634|79277|81762
tfidf,80933,80418,1,69,74.008,"[tool_crash] ProcessException: The directory name is invalid. Command: C:\opt\flutter_windows_2.0.5-stable\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267","[tool_crash] ProcessException: The directory name is invalid. Command: C:\src\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267",,80418|65021|78099|59770|80402|75613|68958|78009|76705|79949
tfidf,80961,81029,,70,77.584,Keyboard doesn't popup when focusing on Android Platform view that includes text fields,[Android] Native EditText does not work for all input types when used with AndroidViewSurface,P0|a: platform-views|a: text input|customer: product|engine|found in release: 2.0|found in release: 2.1|found in release: 2.2|has reproducible steps|platform-android,75423|79634|78342|70216|79554|79748|75613|79277|78009|75076
tfidf,81196,82520,,72,77.694,Flutter build hangs on: Observatory listening on ,Stuck on observatory when running on VIvo devices,tool,62496|76705|76768|80402|63193|73743|79949|78099|66833|80933
tfidf,81287,80418,2,73,85.348,"[tool_crash] ProcessException: The directory name is invalid. Command: C:\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267","[tool_crash] ProcessException: The directory name is invalid. Command: C:\src\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267",,80933|80418|78099|65021|59770|68958|80402|75613|76705|78009
tfidf,81762,81777,1,17,7.757,Jump to internal section anchor,[flutter_markdown] Relative anchors,p: flutter_markdown|package,81777|14720|46789|45332|38437|24923|46460|13868|30701|32719
tfidf,82354,82345,32,78,84.819,Android Studio (not installed),Flutter Doctor cannot find Android Studio 4.2,,75613|78099|80418|80933|81287|78009|78342|60495|65021|70216
tfidf,83331,83232,18,84,88.287,X Unable to locate Android SDK., Unable to locate Android SDK,,82354|80418|75613|79634|80933|80961|83102|79554|82602|70216
tfidf,84096,83102,18,86,97.96,Error with I10n on Flutter 2.2.1 when use Messages With Numbers,Generated l10n file is missing 'intl' import with Flutter 2.2.0,,62496|76768|80402|81196|76705|79949|63193|73743|59312|81287
tfidf,84503,82917,1,88,110.591,Flutter UWP run issue,UWP  run/build failed at master branch,,82917|76777|61997|66224|81666|79748|70216|63619|65021|59312
tfidf,85220,59757,3,90,102.281,[tool_crash] StateError: Bad state: Cannot add event after closing,[tool_crash] StateError: Bad state: Cannot add event after closing,,78099|78342|59757|81666|79748|68958|84252|60495|75423|59312
tfidf,85751,54213,3,92,118.757,"[tool_crash] FileSystemException: writeFrom failed, OS Error: No space left on device, errno = 28","[tool_crash] FileSystemException: writeFrom failed, OS Error: No space left on device, errno = 28",,68958|82354|54213|59757|65021|85220|80418|81287|78342|59770
tfidf,86257,84252,7,93,125.365,Flutter web mjpeg stream never loads,The `Request` can't request a keep-alive http connection on web platform.,,85220|78342|70216|75423|79554|79748|84252|82602|78099|79277
tfidf,86283,60678,1,94,121.441,Terminate called after throwing instance of 'std::bad_cast' (arm64),support linux arm/aarch64 target platform,,60678|81804|75076|63193|79554|77084|79949|80402|73743|80330
tfidf,86320,68958,1,95,128.091,"[tool_crash] FileSystemException: Cannot open file, OS Error: No such file or directory, errno = 2","[tool_crash] FileSystemException: Cannot open file, OS Error: No such file or directory, errno = 2",,68958|65021|80418|59770|80933|85751|81287|78342|85220|79949
tfidf,86652,85195,1,98,129.119,Flutter Web: image_picker plugin gets image from folder instead of webcam,[image_picker] Cameras don't work on the web,,85195|82602|45332|77084|67528|86565|79554|38437|81650|33615
tfidf,87432,63619,1,99,129.323,"Flutter Installer Package for GNU/Linux, Mac or Windows",[Add Official Support] Add Support for Flutter Installer,,63619|53120|86565|82602|79554|82354|75613|79634|81650|82345
tfidf,87927,62496,18,100,132.964,"Android 19 does not work with WebView in any mode, please test before closing the issue",Platform views are not rendering on Android API 21 & under emulator that uses Virtual Display mode ,,61997|51875|80961|70216|62597|79554|82602|46789|78009|75613
tfidf,88302,82520,38,101,138.53,Waiting for obsevatory port to be available... on Vivo S1 only,Stuck on observatory when running on VIvo devices,,81196|62496|85583|76768|63193|76705|80402|86584|84096|73743
tfidf,89497,88688,15,103,133.86,Flutter Web: Regression - Widgets have random ghosting behavior  in master and dev branch -- Can be observed with Link widget but applies to others as well,[Web] [Video_Player] Rendering regression,,84252|75076|78009|80330|86565|86257|78342|85220|75423|79554
tfidf,89547,89540,1,105,137.351, No MaterialLocalizations found when using rflutter package,No MaterialLocalizations found,,89540|89497|84252|86257|85220|78342|70216|80330|79748|86565
tfidf,90733,90675,1,111,139.587,Support iPhone’s ProMotion (120hz),Scrolling is not true 120hz and feels laggy on ProMotion iPhone 13,,90675|13868|86565|79554|79634|82602|31373|90028|84252|38437
tfidf,90961,86565,9,112,143.985,External keyboard input bug in TextField in Flutter SDK 2.5.1 iOS,Textfield is duplicating characters when typing too fast from hardware keyboard,,78342|90675|86257|70216|68958|75423|66413|82602|86565|85220
tfidf,91372,53120,9,113,146.074,Issue: Installing Flutter on Microsoft Surface Pro X,Add Support for running Flutter on Windows ARM64,,38437|79634|81650|86565|82602|79554|90675|80330|53120|80402
tfidf,91589,60495,2,114,143.681,[tool_crash] StateError: Bad state: No context with the running Dart application.,[tool_crash] StateError: Bad state: No context with the running Dart application.,,85220|60495|78099|86257|78342|79748|86320|68958|90961|80933
tfidf,91752,99606,,115,142.187,Set default keyboard language in textField,Ability to change the keyboard language programmatically,P3|a: text input|c: new feature|c: proposal|framework,81029|90961|13868|80961|46460|86565|79554|79634|82602|90675
tfidf,93050,77581,8,116,143.508,[tool_crash] StateError: Bad state: Future already completed,[tool_crash] StateError: Bad state: Future already completed,,78099|85220|91589|81287|60495|86257|80933|77581|79554|79748
tfidf,94108,80063,1,121,183.233,Generate dSYM file for flutter Plugin (iOS dynamic framework) ,Missing dSYM and bcsymbolmap in xcframework from `flutter build ios-framework`,platform-ios,80063|61997|79554|75617|33615|90675|63619|82602|53120|62597
tfidf,95604,94060,2,124,174.792,flutter doctor error on IntelliJ IDEA: FormatException: Unexpected extension byte (at offset 5),[tool] flutter doctor throws ` FormatException: Unexpected extension byte` when using `IntelliJ IDEA  2021.3`  and `Dart` plugin,,91372|94060|79634|38437|86565|82602|81650|79554|90675|80330
tfidf,96156,61340,55,126,169.106,"[webview_flutter] When sliding to the webview page, a vertical line appears",[iOS]  UiKitView will be rendered with borders.,e: device-specific|platform-ios,83232|87927|84252|68436|88688|89914|77084|89497|77043|75076
tfidf,96172,73355,1,128,172.486,VMServiceFlutterDriver: request_data message is taking a long time to complete... stuck on 2.8.1 vs 2.5.3,integration_test package pauses isolates and calling pumpAndSettle() never finishes.,,73355|82520|90675|95604|62597|86565|79554|79634|91372|79748
tfidf,97242,70216,4,132,179.604,Facing this error ,Confusing error message from flutter tools when verifying a broken Android Studio version.,,95604|91372|94060|70216|38437|79634|81287|82602|81650|86565
tfidf,97483,51875,66,134,179.731,[webview] WebView not parsing and rendering contents until visible,[webview_flutter] Allow to preload content into an off-screen webview,,79554|96646|86257|94060|93635|93050|95604|75423|90675|91589
tfidf,97685,82602,2,136,175.296,image_picker no response on iOS simulator,"[image_picker] PlatformException(multiple_request, Cancelled by a second request, null, null) when picking the first default image from the ios simulator",,79634|82602|91372|86565|95604|90675|79554|38437|81650|80330
tfidf,98798,94999,31,141,182.588,[Flutter Camera 0.9.4+14] Build Warning of deprecated API,[camera] Build warnings on camera 0.9.4+5 ,,83232|67528|77084|81804|68436|88688|82345|96156|82602|95604
tfidf,98913,97489,1,143,177.554,"[tool_crash] OSError: OS Error: Can't assign requested address, errno = 49","[tool_crash] OSError: OS Error: Can't assign requested address, errno = 49",,97489|96167|93050|86320|98905|81287|85220|91589|80418|80933
tfidf,99273,85583,86,144,176.558,[Android TV][Video_player]: Rendered video is smaller in size than actual video size and not taking parent size,[video_player][Android TV] MPEG-DASH stream (no DRM) sometimes gets a unintentional picture-in-picture effect,e: device-specific|p: video_player|package|platform-android,97685|98720|48670|86565|78009|79634|93635|82602|90675|75076
tfidf,99273,46460,57,144,183.328,[Android TV][Video_player]: Rendered video is smaller in size than actual video size and not taking parent size,video_player on 4K Amazon Fire TV stick shows small video on green background,e: device-specific|p: video_player|package|platform-android,97685|98720|48670|86565|78009|79634|93635|82602|90675|75076
tfidf,101161,63193,1,150,191.893,i am facing this problem every time i try to run my code i just installed android studio,"Exception in thread ""main"" javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Tag mismatch!",,63193|83596|80402|65021|76705|94999|97242|93050|88302|81196
tfidf,102879,66224,4,155,322.763,"[tool_crash] FileSystemException: Cannot create link, OS Error: 函数不正确。, errno = 1","[tool_crash] ""OS Error: Incorrect function"" in plugin symlinking if Flutter and project are on different volumes",,101962|98905|65021|66224|86320|96167|98913|81287|93635|59770
tfidf,103204,100522,3,159,210.911,"The page suddenly flashed and couldn't stop, on iOS",Screen flickering on iOS since Flutter 2.10.0,,97685|98720|100522|99273|103086|96646|86257|78342|90675|79554
tfidf,103520,103086,1,161,199.131,[iOS Web] EditableText's cursor position jumps to position 0 after deleting a character when readOnly=true,[iOS Web] EditableText's cursor position jumps to 0 after changing cursor position and entering some text when `readOnly=true`,,103086|98720|89540|89914|89547|89497|99273|84252|96646|103204
tfidf,103636,102451,1,162,213.643,Flutter can't compile for windows desktop,[windows] Exception: Bad UTF-8 encoding when running flutter doctor or building/running for Windows,,102451|86584|94999|60495|66224|102879|93635|81196|85583|88302
tfidf,104159,102451,103,163,225.614,flutter upgrade running into doctor check crash,[windows] Exception: Bad UTF-8 encoding when running flutter doctor or building/running for Windows,,83232|77084|82345|98798|68436|83102|88688|76580|96156|67528
