method,query_issue,target_issue,target_rank,candidate_count,latency_ms,query_title,target_title,shared_labels,top_issue_numbers
rrf,13868,24923,,0,0.392,Apple Fairplay Streaming support.,[video_player] Support DRM content,a: video|c: new feature|p: video_player|package|team-ecosystem|triaged-ecosystem,
rrf,67528,45332,1,38,102.67,Image picker video/image optional,ImagePicker: ImageSource should support both Camera+Gallery,p: image_picker|package,45332|46460|51875|48670|53229|66413|62496|24923|13868|14288
rrf,75423,75076,1,45,66.09,[web] Pressing any key causes Uncaught Errors in platform_dispatcher.dart,[Web]TextformField shows error when trying to type with keyboard,,75076|68958|54213|60495|59757|70216|65021|66224|73743|59312
rrf,75617,32719,12,47,66.108,[question]Calling C ++ via the plugin introduces a compilation error caused by the VCPKG package in CMake,Add dependency management support for Windows plugins,,66224|53120|70216|61997|62597|59770|68958|63193|59312|65021
rrf,76580,68436,1,48,67.963,"cupertino_icons, square_pencil issue","Cupertino icon ""square_pencil"" is filled",r: duplicate,68436|14288|75613|31373|67528|53229|61340|75423|61997|66413
rrf,76768,66833,1,50,238.5,Using more v2 embedded plugins from plugin example application will make the plugin fail to run properly,MissingPluginException(No implementation found for method getAll on channel plugins.flutter.io/shared_preferences),r: duplicate,66833|76705|54213|66224|65021|59757|70216|75423|60495|38437
rrf,76777,76705,1,51,108.847,win32-1.7.4+1/lib/src/structs.dart:1111:7: Error: Struct 'ENUMLOGFONTEX' is empty. Empty,Android build failure on master channel,,76705|70216|59312|76768|54213|59770|61997|66833|66224|68958
rrf,78009,75613,1,55,109.635,Horizontal scrollbar becomes invalid and does not disappear after increasing the width of the screen.,The Scrollbar() Widget in Flutter Web is not working as expected,,75613|60495|66413|75423|62496|61340|75076|59757|40648|14288
rrf,78244,48670,1,57,94.484,hls url doesnt play the video in iOS with video_player ,Flutter video_player unable to play HLS live video on iOS device,,48670|46460|66413|24923|67528|13868|61340|22771|51875|59312
rrf,78342,78099,1,58,107.378,[tool_crash] RPCError,[tool_crash] RPCError,,78099|70216|59312|54213|60495|77581|68958|75423|59770|76705
rrf,79277,77043,6,59,242.547,Carried velocity is incorrectly applied on iOS,ListView ScrollPhysics different from native scroll physics when pausing in between scrolls,f: scrolling|framework|platform-ios,66413|78009|75613|78342|77581|77043|48670|54213|75423|61340
rrf,79554,37987,14,60,116.303,Launch devtools faster/earlier to make it easier to profile app startup ,Enable hot restart on profile mode,,78099|76768|78342|54213|77581|38437|59312|60495|59757|70216
rrf,79634,66413,2,61,119.198,VideoController.size not correct on iPhone SE (2nd generation),[video_player] Aspect Ratio sometimes incorrect in iOS,,48670|66413|38437|76768|75613|78009|61340|79554|46460|78342
rrf,80330,14288,5,65,126.478,Flutter showing odd borders that don't actually exist.,Antialiasing behaviour when same-colour ,,78009|79634|75613|38437|14288|79554|78342|61340|66413|75423
rrf,80402,79949,1,66,146.193,Dart snapshot generator failed with exit code -1073741819,Building project fails on generating snapshot with segmentation fault after upgrading to 2.0.1,,79949|76705|65021|59770|77581|59757|73743|63193|60495|59312
