method,query_issue,target_issue,target_rank,candidate_count,latency_ms,query_title,target_title,shared_labels,top_issue_numbers
rerank,13868,24923,,0,0.201,Apple Fairplay Streaming support.,[video_player] Support DRM content,a: video|c: new feature|p: video_player|package|team-ecosystem|triaged-ecosystem,
rerank,67528,45332,1,20,560.656,Image picker video/image optional,ImagePicker: ImageSource should support both Camera+Gallery,p: image_picker|package,45332|48670|66413|37987|13868|53229|30701|56607|51875|33615
rerank,75423,75076,1,20,770.604,[web] Pressing any key causes Uncaught Errors in platform_dispatcher.dart,[Web]TextformField shows error when trying to type with keyboard,,75076|54213|65021|66224|63193|59770|73355|59757|73743|60495
rerank,75617,32719,16,20,556.657,[question]Calling C ++ via the plugin introduces a compilation error caused by the VCPKG package in CMake,Add dependency management support for Windows plugins,,66224|61997|63619|54213|63193|65021|59770|75076|70216|60495
rerank,76580,68436,1,20,546.77,"cupertino_icons, square_pencil issue","Cupertino icon ""square_pencil"" is filled",r: duplicate,68436|46789|61997|14288|53229|31373|67528|14720|63193|30701
rerank,76768,66833,5,20,54129.495,Using more v2 embedded plugins from plugin example application will make the plugin fail to run properly,MissingPluginException(No implementation found for method getAll on channel plugins.flutter.io/shared_preferences),r: duplicate,38437|65021|75617|76705|66833|63619|66224|54213|59312|68958
rerank,76777,76705,15,20,1399.533,win32-1.7.4+1/lib/src/structs.dart:1111:7: Error: Struct 'ENUMLOGFONTEX' is empty. Empty,Android build failure on master channel,,54213|66224|61997|65021|75423|75617|68958|59757|48670|60495
rerank,78009,75613,4,20,1014.888,Horizontal scrollbar becomes invalid and does not disappear after increasing the width of the screen.,The Scrollbar() Widget in Flutter Web is not working as expected,,61340|54213|77043|75613|14720|73355|59757|62496|60495|75076
rerank,78244,48670,1,20,602.334,hls url doesnt play the video in iOS with video_player ,Flutter video_player unable to play HLS live video on iOS device,,48670|24923|66413|46460|61340|76777|13868|51875|81762|67528
rerank,78342,78099,1,20,1067.597,[tool_crash] RPCError,[tool_crash] RPCError,,78099|68958|59757|66224|59770|54213|65021|76705|77581|60495
rerank,79277,77043,1,20,1097.207,Carried velocity is incorrectly applied on iOS,ListView ScrollPhysics different from native scroll physics when pausing in between scrolls,f: scrolling|framework|platform-ios,77043|66413|61340|48670|54213|14720|76777|51875|73355|78009
rerank,79554,37987,7,20,1292.691,Launch devtools faster/earlier to make it easier to profile app startup ,Enable hot restart on profile mode,,76768|38437|61997|66833|78099|46789|37987|76777|76705|77581
rerank,79634,66413,3,20,941.653,VideoController.size not correct on iPhone SE (2nd generation),[video_player] Aspect Ratio sometimes incorrect in iOS,,38437|79554|66413|76768|48670|76777|75613|61340|14720|66833
rerank,80330,14288,11,20,2169.189,Flutter showing odd borders that don't actually exist.,Antialiasing behaviour when same-colour ,,38437|79634|79554|76768|61340|79949|75613|77581|62496|53229
rerank,80402,79949,1,20,9220.614,Dart snapshot generator failed with exit code -1073741819,Building project fails on generating snapshot with segmentation fault after upgrading to 2.0.1,,79949|76768|79554|79748|76705|65021|73743|54213|59312|76777
rerank,80750,77084,1,20,596.815,[web] zooming and resizing does not redraw Scaffold properly,[web] flutter website doesn't resize  properly when zoomed in/out and resizing window on desktop ,,77084|78009|79277|77043|62496|31373|75613|51875|67528|46460
rerank,80933,80418,1,20,1186.199,"[tool_crash] ProcessException: The directory name is invalid. Command: C:\opt\flutter_windows_2.0.5-stable\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267","[tool_crash] ProcessException: The directory name is invalid. Command: C:\src\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267",,80418|79748|54213|65021|61997|66224|59770|68958|70216|77581
rerank,80961,81029,,20,782.26,Keyboard doesn't popup when focusing on Android Platform view that includes text fields,[Android] Native EditText does not work for all input types when used with AndroidViewSurface,P0|a: platform-views|a: text input|customer: product|engine|found in release: 2.0|found in release: 2.1|found in release: 2.2|has reproducible steps|platform-android,62496|61340|77043|76705|40648|75076|60495|51875|78342|76768
rerank,81196,82520,,20,8562.162,Flutter build hangs on: Observatory listening on ,Stuck on observatory when running on VIvo devices,tool,76777|78342|79949|70216|66224|76705|75617|48670|80933|77581
rerank,81287,80418,1,20,811.621,"[tool_crash] ProcessException: The directory name is invalid. Command: C:\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267","[tool_crash] ProcessException: The directory name is invalid. Command: C:\src\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267",,80418|80933|54213|79748|65021|66224|59770|61997|73743|78342
rerank,81762,81777,1,17,424.038,Jump to internal section anchor,[flutter_markdown] Relative anchors,p: flutter_markdown|package,81777|30701|14720|45332|33615|31373|32719|22771|37987|46789
rerank,82354,82345,11,20,876.135,Android Studio (not installed),Flutter Doctor cannot find Android Studio 4.2,,80933|78342|70216|76705|80418|78099|81287|66224|79748|59770
rerank,83331,83232,16,20,625.515,X Unable to locate Android SDK., Unable to locate Android SDK,,81196|80933|70216|61997|82345|82354|79748|80418|66833|81287
rerank,84096,83102,1,20,138087.646,Error with I10n on Flutter 2.2.1 when use Messages With Numbers,Generated l10n file is missing 'intl' import with Flutter 2.2.0,,83102|75076|66224|80933|76777|77581|80418|54213|78342|65021
rerank,84503,82917,1,20,1084.612,Flutter UWP run issue,UWP  run/build failed at master branch,,82917|61997|79748|75617|66224|80933|79949|80418|59770|76777
rerank,85220,59757,1,20,1361.388,[tool_crash] StateError: Bad state: Cannot add event after closing,[tool_crash] StateError: Bad state: Cannot add event after closing,,59757|60495|77581|59770|80418|80933|81287|79748|66224|78099
rerank,85751,54213,1,20,919.438,"[tool_crash] FileSystemException: writeFrom failed, OS Error: No space left on device, errno = 28","[tool_crash] FileSystemException: writeFrom failed, OS Error: No space left on device, errno = 28",,54213|65021|59770|80418|66224|80933|81287|68958|85220|60495
rerank,86257,84252,18,20,1141.445,Flutter web mjpeg stream never loads,The `Request` can't request a keep-alive http connection on web platform.,,76705|62496|59757|85220|82354|70216|78342|79748|85583|80418
rerank,86283,60678,,20,817.274,Terminate called after throwing instance of 'std::bad_cast' (arm64),support linux arm/aarch64 target platform,,79748|78342|59757|76777|59312|85220|76768|83596|76705|77581
rerank,86320,68958,8,20,864.993,"[tool_crash] FileSystemException: Cannot open file, OS Error: No such file or directory, errno = 2","[tool_crash] FileSystemException: Cannot open file, OS Error: No such file or directory, errno = 2",,85751|54213|59770|66224|65021|80418|80933|68958|81287|85220
rerank,86652,85195,1,20,728.684,Flutter Web: image_picker plugin gets image from folder instead of webcam,[image_picker] Cameras don't work on the web,,85195|77084|82602|45332|33615|81804|86257|68958|79748|66224
rerank,87432,63619,6,20,556.832,"Flutter Installer Package for GNU/Linux, Mac or Windows",[Add Official Support] Add Support for Flutter Installer,,60678|70216|81650|83331|80933|63619|83596|22771|38437|61997
rerank,87927,62496,2,20,834.655,"Android 19 does not work with WebView in any mode, please test before closing the issue",Platform views are not rendering on Android API 21 & under emulator that uses Virtual Display mode ,,51875|62496|80961|77581|79748|85220|83596|59757|79949|48670
rerank,88302,82520,11,20,10394.771,Waiting for obsevatory port to be available... on Vivo S1 only,Stuck on observatory when running on VIvo devices,,76705|78342|81287|85220|86257|79748|73743|63193|76777|79949
rerank,89497,88688,1,20,2512.003,Flutter Web: Regression - Widgets have random ghosting behavior  in master and dev branch -- Can be observed with Link widget but applies to others as well,[Web] [Video_Player] Rendering regression,,88688|87927|85220|83596|79949|66224|78099|75613|78342|76768
rerank,89547,89540,1,20,2282.378, No MaterialLocalizations found when using rflutter package,No MaterialLocalizations found,,89540|86584|84096|60495|85220|54213|73355|77581|59757|65021
rerank,90733,90675,1,20,752.705,Support iPhone’s ProMotion (120hz),Scrolling is not true 120hz and feels laggy on ProMotion iPhone 13,,90675|13868|31373|24923|48670|46789|63619|66413|37987|79634
rerank,90961,86565,8,20,1015.972,External keyboard input bug in TextField in Flutter SDK 2.5.1 iOS,Textfield is duplicating characters when typing too fast from hardware keyboard,,82354|80961|86257|61340|78342|70216|81029|86565|76705|81196
rerank,91372,53120,16,20,831.097,Issue: Installing Flutter on Microsoft Surface Pro X,Add Support for running Flutter on Windows ARM64,,83596|76768|62597|83331|82354|80933|81196|76777|84503|78099
rerank,91589,60495,1,20,798.557,[tool_crash] StateError: Bad state: No context with the running Dart application.,[tool_crash] StateError: Bad state: No context with the running Dart application.,,60495|85220|59757|77581|85751|80418|81287|80933|66224|59770
rerank,91752,99606,,20,766.738,Set default keyboard language in textField,Ability to change the keyboard language programmatically,P3|a: text input|c: new feature|c: proposal|framework,81029|80961|75076|90961|86565|40648|90135|14720|90063|89914
rerank,93050,77581,1,20,876.475,[tool_crash] StateError: Bad state: Future already completed,[tool_crash] StateError: Bad state: Future already completed,,77581|59757|85220|60495|91589|54213|80418|80933|81287|59770
rerank,94108,80063,6,20,766.195,Generate dSYM file for flutter Plugin (iOS dynamic framework) ,Missing dSYM and bcsymbolmap in xcframework from `flutter build ios-framework`,platform-ios,79949|66224|93050|68958|76777|80063|81287|78342|59770|93635
rerank,95604,94060,1,20,831.399,flutter doctor error on IntelliJ IDEA: FormatException: Unexpected extension byte (at offset 5),[tool] flutter doctor throws ` FormatException: Unexpected extension byte` when using `IntelliJ IDEA  2021.3`  and `Dart` plugin,,94060|80933|83596|76768|80418|70216|93635|82345|81666|81287
rerank,96156,61340,,20,754.573,"[webview_flutter] When sliding to the webview page, a vertical line appears",[iOS]  UiKitView will be rendered with borders.,e: device-specific|platform-ios,62496|87927|51875|59757|90675|86584|75613|93887|89497|31373
rerank,96172,73355,1,20,610.618,VMServiceFlutterDriver: request_data message is taking a long time to complete... stuck on 2.8.1 vs 2.5.3,integration_test package pauses isolates and calling pumpAndSettle() never finishes.,,73355|95916|93050|84503|79748|78099|77581|86320|91589|96167
rerank,97242,70216,4,20,1270.15,Facing this error ,Confusing error message from flutter tools when verifying a broken Android Studio version.,,83596|91372|76768|70216|76705|80418|83331|81196|93635|81287
rerank,97483,51875,1,20,1163.203,[webview] WebView not parsing and rendering contents until visible,[webview_flutter] Allow to preload content into an off-screen webview,,51875|87927|62496|77043|75613|88688|96156|80402|82602|86257
rerank,97685,82602,1,20,974.771,image_picker no response on iOS simulator,"[image_picker] PlatformException(multiple_request, Cancelled by a second request, null, null) when picking the first default image from the ios simulator",,82602|80402|76768|97242|93153|86652|77581|61340|53229|45332
rerank,98798,94999,1,20,732.462,[Flutter Camera 0.9.4+14] Build Warning of deprecated API,[camera] Build warnings on camera 0.9.4+5 ,,94999|84503|78099|76777|79949|93050|70216|78342|97242|82345
rerank,98913,97489,1,20,783.39,"[tool_crash] OSError: OS Error: Can't assign requested address, errno = 49","[tool_crash] OSError: OS Error: Can't assign requested address, errno = 49",,97489|54213|59770|80418|86320|81287|85220|79748|77581|65021
rerank,99273,85583,5,20,5078.923,[Android TV][Video_player]: Rendered video is smaller in size than actual video size and not taking parent size,[video_player][Android TV] MPEG-DASH stream (no DRM) sometimes gets a unintentional picture-in-picture effect,e: device-specific|p: video_player|package|platform-android,81804|66413|88688|51875|85583|86584|86257|48670|24923|79634
rerank,99273,46460,13,20,5238.91,[Android TV][Video_player]: Rendered video is smaller in size than actual video size and not taking parent size,video_player on 4K Amazon Fire TV stick shows small video on green background,e: device-specific|p: video_player|package|platform-android,81804|66413|88688|51875|85583|86584|86257|48670|24923|79634
rerank,101161,63193,1,20,1239.403,i am facing this problem every time i try to run my code i just installed android studio,"Exception in thread ""main"" javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Tag mismatch!",,63193|83596|94999|79748|59312|100584|82345|97242|70216|66833
rerank,102879,66224,1,20,763.84,"[tool_crash] FileSystemException: Cannot create link, OS Error: 函数不正确。, errno = 1","[tool_crash] ""OS Error: Incorrect function"" in plugin symlinking if Flutter and project are on different volumes",,66224|59770|98066|86320|54213|85751|65021|99954|80418|96167
rerank,103204,100522,1,20,727.518,"The page suddenly flashed and couldn't stop, on iOS",Screen flickering on iOS since Flutter 2.10.0,,100522|86257|48670|61340|81804|88688|82354|76777|78342|79949
rerank,103520,103086,1,20,1465.364,[iOS Web] EditableText's cursor position jumps to position 0 after deleting a character when readOnly=true,[iOS Web] EditableText's cursor position jumps to 0 after changing cursor position and entering some text when `readOnly=true`,,103086|98720|90135|81029|89914|103163|40648|87927|75076|90961
rerank,103636,102451,4,20,1334.97,Flutter can't compile for windows desktop,[windows] Exception: Bad UTF-8 encoding when running flutter doctor or building/running for Windows,,75617|93635|98066|102451|82345|82354|80933|97160|76777|82917
rerank,104159,102451,,20,601.592,flutter upgrade running into doctor check crash,[windows] Exception: Bad UTF-8 encoding when running flutter doctor or building/running for Windows,,82345|94060|80933|96167|101962|93050|97242|80418|93635|77581
rerank,104378,101895,1,20,771.029,plugin(google_sign_in): use Object type for GoogleSignInAccount operator,[google_sign_in] GoogleSignInAccount implement the equals operator wrong,,101895|89547|89540|95142|76768|102994|96646|94108|62496|91589
rerank,104384,59312,1,20,1149.436,"[tool_crash] ProcessException: Process exited abnormally:FAILURE: Build failed with an exception.* What went wrong:Project 'app' not found in root project 'android'.* Try:Run with --stacktrace option to get the stack trace. Run with --info or --debug option to get more log output. Run with --scan to get full insights.* Get more help at https://help.gradle.orgBUILD FAILED in 389ms Command: /Users/xs/work/jinengmao/android/gradlew, OS error code: 1","[tool_crash] ProcessException: Process exited abnormally:FAILURE: Build failed with an exception.* What went wrong:Project 'app' not found in root project 'android'.* Try:Run with --stacktrace option to get the stack trace. Run with --info or --debug option to get more log output. Run with --scan to get full insights.* Get more help at https://help.gradle.orgBUILD FAILED in 0s Command: /Users/bhavneetsingh/Documents/android/gradlew, OS error code: 1",,59312|80418|80933|81287|96167|98066|102879|98905|86320|59770
rerank,105282,102451,16,20,1516.658,build to run flutter app on windows got these error message.,[windows] Exception: Bad UTF-8 encoding when running flutter doctor or building/running for Windows,,93635|84503|103636|76777|82917|98066|80933|59770|80418|95916
rerank,105659,102451,3,20,1740.622, Flutter Doctor Check Exception: Bad UTF-8 encoding (U+FFFD; REPLACEMENT CHARACTER) found while decoding string,[windows] Exception: Bad UTF-8 encoding when running flutter doctor or building/running for Windows,,103636|105282|102451|65021|80933|82345|76777|70216|80418|82354
rerank,106248,95916,4,20,763.786,[tool_crash] StateError: Bad state: No context with the running Dart application.,[flutter_tools] StateError at RemoteDebuggerExecutionContext.id at package:dwds/src/debugging/execution_context.dart,,91589|60495|85220|95916|59757|77581|93050|80418|81287|59770
rerank,107352,83596,1,20,782.697,Crash,"Android crash: Fatal Exception: java.lang.RuntimeException java.util.concurrent.ExecutionException: java.lang.UnsatisfiedLinkError: dalvik.system.PathClassLoader[DexPathList[[zip file ""/system/framework/android.test.runner.jar"", zip file ""/system/framework/org.apache.http.legacy.boot.jar""........",,83596|79748|98066|96167|106953|80418|59312|104384|81287|59770
