method,query_issue,target_issue,target_rank,candidate_count,latency_ms,query_title,target_title,shared_labels,top_issue_numbers
dense,13868,24923,,612,34.667,Apple Fairplay Streaming support.,[video_player] Support DRM content,a: video|c: new feature|p: video_player|package|team-ecosystem|triaged-ecosystem,13266|13756|13332|9030|868|1096|5545|10037|13728|8245
dense,67528,45332,1,3832,149.995,Image picker video/image optional,ImagePicker: ImageSource should support both Camera+Gallery,p: image_picker|package,45332|11577|19806|23414|55948|34787|65995|60740|31845|22792
dense,75423,75076,1,4307,32.83,[web] Pressing any key causes Uncaught Errors in platform_dispatcher.dart,[Web]TextformField shows error when trying to type with keyboard,,75076|60495|55010|54742|55009|50815|50887|54230|55960|34096
dense,75617,32719,33,4325,30.707,[question]Calling C ++ via the plugin introduces a compilation error caused by the VCPKG package in CMake,Add dependency management support for Windows plugins,,62059|32792|71867|51910|70601|68274|67979|38966|24103|66224
dense,76580,68436,1,4372,30.686,"cupertino_icons, square_pencil issue","Cupertino icon ""square_pencil"" is filled",r: duplicate,68436|72686|72237|16102|26824|24054|20784|24670|60034|64089
dense,76768,66833,169,4382,161.214,Using more v2 embedded plugins from plugin example application will make the plugin fail to run properly,MissingPluginException(No implementation found for method getAll on channel plugins.flutter.io/shared_preferences),r: duplicate,47342|20418|58779|43055|60680|48705|13646|23832|56953|63291
dense,76777,76705,184,4383,34.87,win32-1.7.4+1/lib/src/structs.dart:1111:7: Error: Struct 'ENUMLOGFONTEX' is empty. Empty,Android build failure on master channel,,32457|74795|17934|67979|22423|52527|69632|21367|52075|51910
dense,78009,75613,14,4449,33.789,Horizontal scrollbar becomes invalid and does not disappear after increasing the width of the screen.,The Scrollbar() Widget in Flutter Web is not working as expected,,30366|11222|65260|40740|65310|18497|54968|21031|14227|45469
dense,78244,48670,1,4464,16.667,hls url doesnt play the video in iOS with video_player ,Flutter video_player unable to play HLS live video on iOS device,,48670|71299|45030|46778|28059|75995|59387|26851|71808|71055
dense,78342,78099,3,4473,32.192,[tool_crash] RPCError,[tool_crash] RPCError,,6219|73320|78099|67559|68959|67335|3601|65153|28545|17387
dense,79277,77043,2,4558,34.781,Carried velocity is incorrectly applied on iOS,ListView ScrollPhysics different from native scroll physics when pausing in between scrolls,f: scrolling|framework|platform-ios,4736|77043|46167|47758|74257|78688|73249|66661|72996|45893
dense,79554,37987,123,4577,34.876,Launch devtools faster/earlier to make it easier to profile app startup ,Enable hot restart on profile mode,,45801|14504|1704|45142|35770|9896|42663|52350|875|9863
dense,79634,66413,2,4580,32.065,VideoController.size not correct on iPhone SE (2nd generation),[video_player] Aspect Ratio sometimes incorrect in iOS,,66878|66413|30169|58138|40429|78998|53906|71808|79340|72696
dense,80330,14288,183,4625,36.934,Flutter showing odd borders that don't actually exist.,Antialiasing behaviour when same-colour ,,43159|67462|16262|32376|49489|46926|48201|18906|61340|21506
dense,80402,79949,26,4630,52.9,Dart snapshot generator failed with exit code -1073741819,Building project fails on generating snapshot with segmentation fault after upgrading to 2.0.1,,43543|57772|35111|43791|35770|54926|79853|49051|74549|43055
dense,80750,77084,1,4648,23.945,[web] zooming and resizing does not redraw Scaffold properly,[web] flutter website doesn't resize  properly when zoomed in/out and resizing window on desktop ,,77084|7036|73120|58521|53489|71299|10240|67815|24417|60952
dense,80933,80418,1,4662,35.361,"[tool_crash] ProcessException: The directory name is invalid. Command: C:\opt\flutter_windows_2.0.5-stable\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267","[tool_crash] ProcessException: The directory name is invalid. Command: C:\src\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267",,80418|78940|67335|53913|16847|64843|61547|14884|30757|70825
dense,80961,81029,,4664,29.944,Keyboard doesn't popup when focusing on Android Platform view that includes text fields,[Android] Native EditText does not work for all input types when used with AndroidViewSurface,P0|a: platform-views|a: text input|customer: product|engine|found in release: 2.0|found in release: 2.1|found in release: 2.2|has reproducible steps|platform-android,52599|72918|34309|62800|73171|29140|70376|39900|76497|190
dense,81196,82520,,4676,48.665,Flutter build hangs on: Observatory listening on ,Stuck on observatory when running on VIvo devices,tool,62771|55128|65153|53625|37583|67559|78342|61208|6219|17387
dense,81287,80418,1,4679,32.541,"[tool_crash] ProcessException: The directory name is invalid. Command: C:\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267","[tool_crash] ProcessException: The directory name is invalid. Command: C:\src\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267",,80418|78940|80933|67335|53913|64843|69565|63409|61547|78518
dense,81762,81777,1,2844,18.332,Jump to internal section anchor,[flutter_markdown] Relative anchors,p: flutter_markdown|package,81777|44899|24499|47344|2729|44484|49513|23674|19449|11495
dense,82354,82345,24,4749,32.737,Android Studio (not installed),Flutter Doctor cannot find Android Studio 4.2,,65153|53625|58234|70601|70381|68274|29237|57265|28817|63271
dense,83331,83232,13,4815,31.916,X Unable to locate Android SDK., Unable to locate Android SDK,,48065|44180|63271|57265|53045|58234|27175|53625|82354|57811
dense,84096,83102,1,4860,110.874,Error with I10n on Flutter 2.2.1 when use Messages With Numbers,Generated l10n file is missing 'intl' import with Flutter 2.2.0,,83102|49689|73861|12040|75977|42806|39937|45863|36748|45909
dense,84503,82917,1,4881,30.101,Flutter UWP run issue,UWP  run/build failed at master branch,,82917|25324|77133|64178|76777|76853|74203|55603|57000|65153
dense,85220,59757,3,4930,34.082,[tool_crash] StateError: Bad state: Cannot add event after closing,[tool_crash] StateError: Bad state: Cannot add event after closing,,83178|83793|59757|55009|54742|55010|60495|54230|55960|50887
dense,85751,54213,1,4961,36.614,"[tool_crash] FileSystemException: writeFrom failed, OS Error: No space left on device, errno = 28","[tool_crash] FileSystemException: writeFrom failed, OS Error: No space left on device, errno = 28",,54213|57697|65162|65326|65719|63266|76207|69565|65717|71218
dense,86257,84252,27,4992,34.606,Flutter web mjpeg stream never loads,The `Request` can't request a keep-alive http connection on web platform.,,69310|31848|39304|53254|70565|54742|55010|55009|55960|54230
dense,86283,60678,1290,4993,20.773,Terminate called after throwing instance of 'std::bad_cast' (arm64),support linux arm/aarch64 target platform,,83778|22247|17659|50916|68964|69863|19141|38885|35111|6219
