method,query_issue,target_issue,target_rank,candidate_count,latency_ms,query_title,target_title,shared_labels,top_issue_numbers
tfidf,13868,24923,,612,310.418,Apple Fairplay Streaming support.,[video_player] Support DRM content,a: video|c: new feature|p: video_player|package|team-ecosystem|triaged-ecosystem,1434|107|4965|93|76|150|5777|11003|12103|1377
tfidf,67528,45332,33,3832,2786.352,Image picker video/image optional,ImagePicker: ImageSource should support both Camera+Gallery,p: image_picker|package,19266|19762|54849|23414|1994|35752|57444|26865|43212|54205
tfidf,75423,75076,7,4307,3299.013,[web] Pressing any key causes Uncaught Errors in platform_dispatcher.dart,[Web]TextformField shows error when trying to type with keyboard,,72094|71733|71479|73342|71172|74721|75076|74187|73397|73865
tfidf,75617,32719,1642,4325,3269.067,[question]Calling C ++ via the plugin introduces a compilation error caused by the VCPKG package in CMake,Add dependency management support for Windows plugins,,62059|73865|59879|59875|72211|72483|69300|52993|69403|73120
tfidf,76580,68436,1,4372,3234.886,"cupertino_icons, square_pencil issue","Cupertino icon ""square_pencil"" is filled",r: duplicate,68436|64956|71931|75188|67528|60206|24382|24150|19266|19762
tfidf,76768,66833,86,4382,3281.462,Using more v2 embedded plugins from plugin example application will make the plugin fail to run properly,MissingPluginException(No implementation found for method getAll on channel plugins.flutter.io/shared_preferences),r: duplicate,54386|62496|64309|70376|63006|63254|75122|51571|64155|68448
tfidf,76777,76705,2,4383,3253.416,win32-1.7.4+1/lib/src/structs.dart:1111:7: Error: Struct 'ENUMLOGFONTEX' is empty. Empty,Android build failure on master channel,,74795|76705|72713|62390|75605|62060|43360|72341|75172|56516
tfidf,78009,75613,2,4449,3307.068,Horizontal scrollbar becomes invalid and does not disappear after increasing the width of the screen.,The Scrollbar() Widget in Flutter Web is not working as expected,,77832|75613|74113|74721|75587|77258|72336|71573|73342|73140
tfidf,78244,48670,5,4464,3307.288,hls url doesnt play the video in iOS with video_player ,Flutter video_player unable to play HLS live video on iOS device,,71482|46778|26472|59387|48670|53906|46460|13244|60340|28462
tfidf,78342,78099,2,4473,3344.515,[tool_crash] RPCError,[tool_crash] RPCError,,73397|78099|68959|70216|78114|66413|63719|71632|47822|65995
tfidf,79277,77043,1058,4558,3420.856,Carried velocity is incorrectly applied on iOS,ListView ScrollPhysics different from native scroll physics when pausing in between scrolls,f: scrolling|framework|platform-ios,73342|77116|74721|78342|78114|72094|78099|71479|71733|78826
tfidf,79554,37987,1953,4577,3457.914,Launch devtools faster/earlier to make it easier to profile app startup ,Enable hot restart on profile mode,,78826|78614|63382|57007|52979|58801|55536|49284|63851|49774
tfidf,79634,66413,543,4580,3463.649,VideoController.size not correct on iPhone SE (2nd generation),[video_player] Aspect Ratio sometimes incorrect in iOS,,78614|63382|57007|52979|55536|58801|49284|63851|49774|54351
