method,query_issue,target_issue,target_rank,candidate_count,latency_ms,query_title,target_title,shared_labels,top_issue_numbers
hybrid,13868,24923,,612,559.827,Apple Fairplay Streaming support.,[video_player] Support DRM content,a: video|c: new feature|p: video_player|package|team-ecosystem|triaged-ecosystem,13266|13756|868|13332|1434|9030|4965|5545|76|1377
hybrid,67528,45332,2,3832,2861.144,Image picker video/image optional,ImagePicker: ImageSource should support both Camera+Gallery,p: image_picker|package,23414|45332|39452|11577|19806|19762|31845|29873|55948|60766
hybrid,75423,75076,1,4307,3382.14,[web] Pressing any key causes Uncaught Errors in platform_dispatcher.dart,[Web]TextformField shows error when trying to type with keyboard,,75076|72094|71733|73342|71479|74113|71172|74549|65096|58432
hybrid,75617,32719,78,4325,3273.594,[question]Calling C ++ via the plugin introduces a compilation error caused by the VCPKG package in CMake,Add dependency management support for Windows plugins,,62059|71867|66224|72211|63386|20418|32792|51910|68274|59879
hybrid,76580,68436,1,4372,3365.306,"cupertino_icons, square_pencil issue","Cupertino icon ""square_pencil"" is filled",r: duplicate,68436|72237|72686|16102|24670|26824|20784|24054|64089|26137
hybrid,76768,66833,65,4382,3504.134,Using more v2 embedded plugins from plugin example application will make the plugin fail to run properly,MissingPluginException(No implementation found for method getAll on channel plugins.flutter.io/shared_preferences),r: duplicate,54386|70376|62496|55128|64479|63006|64309|52075|72705|48705
hybrid,76777,76705,2,4383,3328.598,win32-1.7.4+1/lib/src/structs.dart:1111:7: Error: Struct 'ENUMLOGFONTEX' is empty. Empty,Android build failure on master channel,,74795|76705|72713|43360|17934|32457|62060|21367|52075|71632
hybrid,78009,75613,1,4449,3398.176,Horizontal scrollbar becomes invalid and does not disappear after increasing the width of the screen.,The Scrollbar() Widget in Flutter Web is not working as expected,,75613|77832|74113|72336|74576|75587|72813|63851|71573|77258
hybrid,78244,48670,1,4464,3375.672,hls url doesnt play the video in iOS with video_player ,Flutter video_player unable to play HLS live video on iOS device,,48670|71482|46778|45030|59387|26472|28059|71299|53906|60340
hybrid,78342,78099,1,4473,3460.736,[tool_crash] RPCError,[tool_crash] RPCError,,78099|68959|73397|70216|71632|63409|78114|59312|55010|71218
hybrid,79277,77043,29,4558,3497.579,Carried velocity is incorrectly applied on iOS,ListView ScrollPhysics different from native scroll physics when pausing in between scrolls,f: scrolling|framework|platform-ios,74257|79218|72213|73342|66661|20485|77116|73397|78998|40863
hybrid,79554,37987,721,4577,3523.251,Launch devtools faster/earlier to make it easier to profile app startup ,Enable hot restart on profile mode,,78826|55536|52979|58801|49774|57007|49051|78614|56030|63382
hybrid,79634,66413,137,4580,3549.093,VideoController.size not correct on iPhone SE (2nd generation),[video_player] Aspect Ratio sometimes incorrect in iOS,,52979|55536|49051|58801|57007|49774|53906|54351|56030|63851
hybrid,80330,14288,397,4625,3564.068,Flutter showing odd borders that don't actually exist.,Antialiasing behaviour when same-colour ,,54351|52979|33918|55536|40056|49774|63851|58801|41264|29084
hybrid,80402,79949,1,4630,3601.04,Dart snapshot generator failed with exit code -1073741819,Building project fails on generating snapshot with segmentation fault after upgrading to 2.0.1,,79949|76705|79378|69522|35111|31019|79045|43055|71938|78728
hybrid,80750,77084,1,4648,3588.522,[web] zooming and resizing does not redraw Scaffold properly,[web] flutter website doesn't resize  properly when zoomed in/out and resizing window on desktop ,,77084|73120|7036|59642|58521|76765|77832|78213|71299|67815
hybrid,80933,80418,1,4662,3623.582,"[tool_crash] ProcessException: The directory name is invalid. Command: C:\opt\flutter_windows_2.0.5-stable\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267","[tool_crash] ProcessException: The directory name is invalid. Command: C:\src\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267",,80418|78940|67335|71938|61547|79711|53913|16847|64843|78716
hybrid,80961,81029,,4664,3614.24,Keyboard doesn't popup when focusing on Android Platform view that includes text fields,[Android] Native EditText does not work for all input types when used with AndroidViewSurface,P0|a: platform-views|a: text input|customer: product|engine|found in release: 2.0|found in release: 2.1|found in release: 2.2|has reproducible steps|platform-android,72918|45781|34309|52599|55448|79849|39900|62800|73171|35867
hybrid,81196,82520,,4676,3657.067,Flutter build hangs on: Observatory listening on ,Stuck on observatory when running on VIvo devices,tool,55128|65486|78728|77361|68448|79367|77523|73937|75122|63725
