method,query_issue,target_issue,target_rank,candidate_count,latency_ms,query_title,target_title,shared_labels,top_issue_numbers
rrf,13868,24923,,612,386.156,Apple Fairplay Streaming support.,[video_player] Support DRM content,a: video|c: new feature|p: video_player|package|team-ecosystem|triaged-ecosystem,868|13756|13266|13332|5545|1377|11577|7312|11728|12103
rrf,67528,45332,3,3832,2694.242,Image picker video/image optional,ImagePicker: ImageSource should support both Camera+Gallery,p: image_picker|package,23414|39452|45332|19762|24382|11577|57097|19806|54849|31845
rrf,75423,75076,1,4307,3227.443,[web] Pressing any key causes Uncaught Errors in platform_dispatcher.dart,[Web]TextformField shows error when trying to type with keyboard,,75076|72094|65096|74549|55010|58432|50887|62408|73342|54230
rrf,75617,32719,86,4325,3268.763,[question]Calling C ++ via the plugin introduces a compilation error caused by the VCPKG package in CMake,Add dependency management support for Windows plugins,,62059|66224|63386|20418|71867|72211|63271|67335|46771|69022
rrf,76580,68436,1,4372,3283.464,"cupertino_icons, square_pencil issue","Cupertino icon ""square_pencil"" is filled",r: duplicate,68436|72237|24670|20784|35026|72686|26137|19266|16102|56948
rrf,76768,66833,98,4382,3409.174,Using more v2 embedded plugins from plugin example application will make the plugin fail to run properly,MissingPluginException(No implementation found for method getAll on channel plugins.flutter.io/shared_preferences),r: duplicate,54386|48705|60680|36060|64479|65830|35111|58801|57007|20418
rrf,76777,76705,19,4383,3344.906,win32-1.7.4+1/lib/src/structs.dart:1111:7: Error: Struct 'ENUMLOGFONTEX' is empty. Empty,Android build failure on master channel,,74795|17934|32457|21367|43360|71632|21973|52075|57940|72713
rrf,78009,75613,1,4449,3434.261,Horizontal scrollbar becomes invalid and does not disappear after increasing the width of the screen.,The Scrollbar() Widget in Flutter Web is not working as expected,,75613|77832|74576|72336|72813|74113|45469|63851|40740|65260
rrf,78244,48670,1,4464,3399.791,hls url doesnt play the video in iOS with video_player ,Flutter video_player unable to play HLS live video on iOS device,,48670|46778|59387|28059|45030|53906|26472|60340|71482|66878
rrf,78342,78099,1,4473,3404.724,[tool_crash] RPCError,[tool_crash] RPCError,,78099|68959|71632|63409|70216|59312|67335|55010|28545|64843
rrf,79277,77043,11,4558,3523.52,Carried velocity is incorrectly applied on iOS,ListView ScrollPhysics different from native scroll physics when pausing in between scrolls,f: scrolling|framework|platform-ios,74257|79218|72213|66661|20485|73342|77116|47758|46167|4736
rrf,79554,37987,257,4577,3607.429,Launch devtools faster/earlier to make it easier to profile app startup ,Enable hot restart on profile mode,,55536|52979|58801|49774|57007|45801|78826|40056|33918|78614
rrf,79634,66413,15,4580,3570.087,VideoController.size not correct on iPhone SE (2nd generation),[video_player] Aspect Ratio sometimes incorrect in iOS,,53906|30169|49525|66878|52979|78998|49051|55536|58801|57007
rrf,80330,14288,332,4625,3606.195,Flutter showing odd borders that don't actually exist.,Antialiasing behaviour when same-colour ,,52979|54351|33918|55536|40056|49774|63851|48201|46926|41264
rrf,80402,79949,2,4630,3625.864,Dart snapshot generator failed with exit code -1073741819,Building project fails on generating snapshot with segmentation fault after upgrading to 2.0.1,,35111|79949|43055|31019|43543|70825|49051|31551|71938|65830
rrf,80750,77084,1,4648,3592.195,[web] zooming and resizing does not redraw Scaffold properly,[web] flutter website doesn't resize  properly when zoomed in/out and resizing window on desktop ,,77084|73120|59642|78213|77832|76765|53457|78009|74211|58521
rrf,80933,80418,1,4662,3628.322,"[tool_crash] ProcessException: The directory name is invalid. Command: C:\opt\flutter_windows_2.0.5-stable\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267","[tool_crash] ProcessException: The directory name is invalid. Command: C:\src\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267",,80418|78940|67335|61547|64843|16847|53913|70825|69565|65719
rrf,80961,81029,,4664,3633.247,Keyboard doesn't popup when focusing on Android Platform view that includes text fields,[Android] Native EditText does not work for all input types when used with AndroidViewSurface,P0|a: platform-views|a: text input|customer: product|engine|found in release: 2.0|found in release: 2.1|found in release: 2.2|has reproducible steps|platform-android,72918|34309|55448|45781|52599|39900|79849|26415|79031|69376
rrf,81196,82520,,4676,3645.135,Flutter build hangs on: Observatory listening on ,Stuck on observatory when running on VIvo devices,tool,55128|65486|37583|32032|22293|76705|53625|61208|65153|67559
rrf,81287,80418,1,4679,3656.745,"[tool_crash] ProcessException: The directory name is invalid. Command: C:\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267","[tool_crash] ProcessException: The directory name is invalid. Command: C:\src\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267",,80418|80933|78940|67335|78099|64843|65719|78518|69565|53913
rrf,81762,81777,5,2844,1975.968,Jump to internal section anchor,[flutter_markdown] Relative anchors,p: flutter_markdown|package,24499|36530|23674|44899|81777|32120|26182|10596|34796|48924
