method,query_issue,target_issue,target_rank,candidate_count,latency_ms,query_title,target_title,shared_labels,top_issue_numbers
rerank,13868,24923,,20,891.812,Apple Fairplay Streaming support.,[video_player] Support DRM content,a: video|c: new feature|p: video_player|package|team-ecosystem|triaged-ecosystem,13266|8245|11146|5504|13332|9030|10669|2773|1096|13308
rerank,67528,45332,1,20,657.841,Image picker video/image optional,ImagePicker: ImageSource should support both Camera+Gallery,p: image_picker|package,45332|19806|29873|23414|11577|22476|31845|60766|34787|22792
rerank,75423,75076,1,20,837.613,[web] Pressing any key causes Uncaught Errors in platform_dispatcher.dart,[Web]TextformField shows error when trying to type with keyboard,,75076|34096|62408|11975|70083|72077|65096|74549|53254|59757
rerank,75617,32719,,20,1081.009,[question]Calling C ++ via the plugin introduces a compilation error caused by the VCPKG package in CMake,Add dependency management support for Windows plugins,,51910|38966|66224|32792|67979|4882|64881|13646|16220|71867
rerank,76580,68436,1,20,815.943,"cupertino_icons, square_pencil issue","Cupertino icon ""square_pencil"" is filled",r: duplicate,68436|72237|16102|20784|26888|24670|24054|65397|26137|21038
rerank,76768,66833,,20,101063.599,Using more v2 embedded plugins from plugin example application will make the plugin fail to run properly,MissingPluginException(No implementation found for method getAll on channel plugins.flutter.io/shared_preferences),r: duplicate,47342|62103|29877|43055|35111|41353|48520|60680|36060|63291
rerank,76777,76705,,20,3645.656,win32-1.7.4+1/lib/src/structs.dart:1111:7: Error: Struct 'ENUMLOGFONTEX' is empty. Empty,Android build failure on master channel,,74795|51910|67979|71632|57368|52075|10461|52527|64881|17934
rerank,78009,75613,9,20,730.407,Horizontal scrollbar becomes invalid and does not disappear after increasing the width of the screen.,The Scrollbar() Widget in Flutter Web is not working as expected,,25000|53489|18497|11222|26984|58036|14227|54968|75613|46089
rerank,78244,48670,1,20,679.33,hls url doesnt play the video in iOS with video_player ,Flutter video_player unable to play HLS live video on iOS device,,48670|71299|28059|75995|64693|66878|71055|72696|53906|45030
rerank,78342,78099,3,20,831.041,[tool_crash] RPCError,[tool_crash] RPCError,,67335|68959|78099|4245|17387|6219|65153|67559|73320|8556
rerank,79277,77043,7,20,646.161,Carried velocity is incorrectly applied on iOS,ListView ScrollPhysics different from native scroll physics when pausing in between scrolls,f: scrolling|framework|platform-ios,46167|73249|66661|5599|23391|62123|77043|74257|4736|72213
